Mardoceo	pu:17:29
Maremma	i:25:19	i:29:48	pu:5:134
Margherita	pu:7:128
Maria	pu:3:39	pu:5:101	pu:8:37	pu:10:50	pu:13:50	pu:18:100	pu:20:19	pu:22:142	pu:23:30	pu:33:6	pa:3:122	pa:4:30	pa:11:71	pa:14:36	pa:15:133	pa:23:111	pa:23:126	pa:23:137	pa:32:4	pa:32:95	pa:32:107	pa:32:113
Marsilia	pu:18:102
Marsïa	pa:1:20
Marte	i:24:145	i:31:51	pu:2:14	pu:12:31	pa:4:63	pa:8:132	pa:14:101	pa:16:47	pa:27:14
Martino	pa:13:139
Marzia	pu:1:79
Marzucco	pu:6:18
Marzïa	i:4:128	pu:1:85
Matelda	pu:33:119
Matia	i:19:94
Medea	i:18:96
Medusa	i:9:52
Megera	i:9:46
Melanesi	pu:8:80
Melchisedèch	pa:8:125
Meleagro	pu:25:22
Melisso	pa:13:125
Menalippo	i:32:131
Mencio	i:20:77
Mercurio	pa:4:63
Metello	pu:9:138
Michel	pa:4:47
Michel Zanche	i:22:88	i:33:144
Michele	i:7:11	pu:13:51
Michele Scotto	i:20:116
Micòl	pu:10:68	pu:10:72
Mida	pu:20:106
Milan	pu:18:120
Minerva	pu:30:68	pa:2:8
Minoi	pa:13:14
Minotauro	i:12:25
Minòs	i:5:4	i:5:17	i:13:96	i:20:36	i:27:124	i:29:120	pu:1:77
Mira	pu:5:79
Mirra	i:30:38
Miserere	pu:5:24
Miserere mei	pa:32:12
Modena	pa:6:75
Molta	pu:7:99
Monaldi	pu:6:107
Monferrato	pu:7:136
Mongibello	i:14:56
Montagna	i:27:47
Montaperti	i:32:81
Monte Viso	i:16:95
Montecchi	pu:6:106
Montefeltro	pu:5:88
Montemalo	pa:15:109
Montemurlo	pa:16:64
Montereggion	i:31:41
Montone	pu:8:134	pa:29:2
Moronto	pa:15:136
Morrocco	i:26:104	pu:4:139
Mosca	i:6:80	i:28:106
Moïsè	i:4:57	pu:32:80	pa:4:29	pa:24:136	pa:26:41
Muda	i:33:22
Muse	pu:1:8	pu:22:102	pa:2:9
Muzio	pa:4:84
Mäometto	i:28:31	i:28:62
Nabuccodonosor	pa:4:14
Naiade	pu:33:49
Napoli	pu:3:27
Narcisso	i:30:128
Nasidio	i:25:95
Natàn	pa:12:136
Navarra	i:22:48	pa:19:143
Navarrese	i:22:121
